,id,accident_risk
0,517754,0.29321218
1,517755,0.12355662
2,517756,0.18165815
3,517757,0.3153483
4,517758,0.39969584
5,517759,0.46004313
6,517760,0.26974544
7,517761,0.19852644
8,517762,0.3672669
9,517763,0.3222957
10,517764,0.078953564
11,517765,0.19497652
12,517766,0.30770823
13,517767,0.2642934
14,517768,0.17760693
15,517769,0.31239936
16,517770,0.3014321
17,517771,0.3060046
18,517772,0.08377145
19,517773,0.24996386
20,517774,0.3715402
21,517775,0.6038078
22,517776,0.13652577
23,517777,0.21404299
24,517778,0.40513209
25,517779,0.28211573
26,517780,0.37228972
27,517781,0.34247246
28,517782,0.2937262
29,517783,0.31070045
30,517784,0.3012626
31,517785,0.2510776
32,517786,0.46642926
33,517787,0.35084018
34,517788,0.32862025
35,517789,0.14588793
36,517790,0.28956172
37,517791,0.30613646
38,517792,0.7134016
39,517793,0.18387333
40,517794,0.11239461
41,517795,0.30483547
42,517796,0.12901556
43,517797,0.09291815
44,517798,0.48030767
45,517799,0.15764597
46,517800,0.30025715
47,517801,0.3248058
48,517802,0.33592835
49,517803,0.31935486
50,517804,0.29467657
51,517805,0.769969
52,517806,0.27235603
53,517807,0.5385411
54,517808,0.4139121
55,517809,0.29760557
56,517810,0.50241405
57,517811,0.41071656
58,517812,0.3656492
59,517813,0.6112098
60,517814,0.5521663
61,517815,0.03538729
62,517816,0.5655457
63,517817,0.16538373
64,517818,0.566379
65,517819,0.5746787
66,517820,0.31736326
67,517821,0.16373548
68,517822,0.04652559
69,517823,0.19220257
70,517824,0.12129164
71,517825,0.354574
72,517826,0.29451114
73,517827,0.5238868
74,517828,0.6102379
75,517829,0.4567408
76,517830,0.6687119
77,517831,0.18919438
78,517832,0.1928126
79,517833,0.3033024
80,517834,0.41310263
81,517835,0.3118546
82,517836,0.3589859
83,517837,0.30049208
84,517838,0.3669495
85,517839,0.6399163
86,517840,0.41563657
87,517841,0.106215425
88,517842,0.42299068
89,517843,0.48517206
90,517844,0.12683971
91,517845,0.19391032
92,517846,0.41344014
93,517847,0.11560566
94,517848,0.48051673
95,517849,0.37385234
96,517850,0.15268783
97,517851,0.19021492
98,517852,0.10390489
99,517853,0.566647
100,517854,0.32256034
101,517855,0.47682396
102,517856,0.34051496
103,517857,0.12610608
104,517858,0.23654076
105,517859,0.42896676
106,517860,0.50924486
107,517861,0.75113994
108,517862,0.5049594
109,517863,0.38762894
110,517864,0.29607627
111,517865,0.31348076
112,517866,0.4873537
113,517867,0.4904705
114,517868,0.18511094
115,517869,0.30295965
116,517870,0.3552355
117,517871,0.44167295
118,517872,0.34915262
119,517873,0.14638552
120,517874,0.39134672
121,517875,0.18704827
122,517876,0.22322212
123,517877,0.27304485
124,517878,0.23214164
125,517879,0.36262408
126,517880,0.4123087
127,517881,0.28149545
128,517882,0.37439674
129,517883,0.08472169
130,517884,0.5435448
131,517885,0.06445604
132,517886,0.4926179
133,517887,0.5653259
134,517888,0.32074875
135,517889,0.3292357
136,517890,0.2793547
137,517891,0.6387488
138,517892,0.61804175
139,517893,0.15655147
140,517894,0.35701394
141,517895,0.6066674
142,517896,0.57218546
143,517897,0.29777864
144,517898,0.13595265
145,517899,0.36401838
146,517900,0.30303648
147,517901,0.3185457
148,517902,0.15882932
149,517903,0.30364308
150,517904,0.042868387
151,517905,0.36687046
152,517906,0.45143184
153,517907,0.565472
154,517908,0.29258704
155,517909,0.06147308
156,517910,0.22994225
157,517911,0.48624912
158,517912,0.38688713
159,517913,0.3566905
160,517914,0.72328836
161,517915,0.15661336
162,517916,0.5144601
